family,sequence,arm,camera_active,effective_camera_stride,prompt22_raw_stride,repetitions,valid_repetitions,ate_rmse_m_mean,ate_rmse_m_std,ate_rmse_m_median,ate_rmse_m_min,ate_rmse_m_max,estimator_wall_s_mean,estimator_wall_s_std,estimator_wall_s_median,estimator_cpu_s_mean,estimator_cpu_s_std,estimator_cpu_s_median,offline_wall_s_mean,offline_wall_s_std,offline_wall_s_median,peak_rss_mib_mean,peak_rss_mib_std,peak_rss_mib_median,final_rss_mib_mean,final_rss_mib_std,final_rss_mib_median,peak_pss_mib_mean,peak_pss_mib_std,peak_pss_mib_median,final_pss_mib_mean,final_pss_mib_std,final_pss_mib_median,peak_uss_mib_mean,peak_uss_mib_std,peak_uss_mib_median,final_uss_mib_mean,final_uss_mib_std,final_uss_mib_median,visual_calls,visual_commits,backend_rejected,trajectory_rows,config_authority,config_sha256,shared_semantic_sha256,source_heads,run_ids,final_validity
NTU,eee_01,N-LIO,false,N/A (camera off),1;1;1,3,3,0.030760061559,0.0,0.030760061559,0.030760061559,0.030760061559,44.46852636833328,4.855129559921532,47.42344839800002,173.40968167899987,18.948263760223377,184.88273482399964,48.481899999999996,5.091465363396539,51.5331,2586.9817708333335,1.459984416907539,2587.05078125,2586.3046875,1.642124810490715,2585.453125,2566.6878255208335,1.326565014572566,2566.5810546875,2566.0133463541665,1.5520218190541664,2564.9794921875,2564.08203125,1.6554114180138497,2563.7734375,2563.4778645833335,1.8986205687338102,2562.2421875,0;0;0,0;0;0,0;0;0,3985;3985;3985,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,76e7349c106135cd6afbc042251d9d81688d5aac5b6fd3976c429616ab764263,0f4881acffd3a6958b1bf67ae07363a84b563d1a,P15-eee_01-N-LIO-r1;P15-eee_01-N-LIO-r2;P15-eee_01-N-LIO-r3,VALID_3_REPS
NTU,eee_01,P-LIO,false,N/A (camera off),1;1;1,3,3,0.04951128171299999,0.0,0.049511281713,0.049511281713,0.049511281713,37.45760376566667,7.549272349642345,37.123917463999895,140.54660503333335,27.79189481243617,139.79110215200012,42.0544,8.492950571307166,41.4658,339.3567708333333,1.3093546968725556,339.7734375,338.5598958333333,1.5232750091405762,337.5859375,318.8343098958333,1.3544398105685673,319.6103515625,318.0517578125,1.3581961127557216,317.2626953125,316.2760416666667,1.5354074796197335,316.703125,315.5169270833333,1.6916192409839201,314.42578125,0;0;0,0;0;0,0;0;0,3981;3981;3981,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,76e7349c106135cd6afbc042251d9d81688d5aac5b6fd3976c429616ab764263,00f12463d520d5ac7297f62385f56757d56a029c,P15-eee_01-P-LIO-r1;P15-eee_01-P-LIO-r2;P15-eee_01-P-LIO-r3,VALID_3_REPS
NTU,eee_01,N-LIVO-STRIDE,true,1,1;1;1,3,3,0.029999763343000002,0.0017163645019898277,0.028794415818,0.028777823814,0.032427050397,77.384922545,8.342204625989913,81.30477892599993,267.93951650866586,33.14731885911979,283.51500914199795,82.6844,9.08393580338391,86.995,4436.268229166667,16.03889960662398,4427.02734375,4436.268229166667,16.03889960662398,4427.02734375,4416.0185546875,16.083661598189327,4406.7587890625,4416.0185546875,16.083661598189327,4406.7587890625,4413.489583333333,15.881456665738753,4404.77734375,4413.489583333333,15.881456665738753,4404.77734375,3983;3983;3983,3982;3982;3982,0;0;0,3983;3983;3983,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,a02de9fde32902582637605791cdf050028efa3b54171d07a92b216f289b5d90,0f4881acffd3a6958b1bf67ae07363a84b563d1a,P15-eee_01-N-LIVO-r1;P15-eee_01-N-LIVO-r2;P15-eee_01-N-LIVO-r3,VALID_3_REPS
NTU,eee_01,P-LIVO-STRIDE,true,1,1;1;1,3,3,0.05210262937466667,9.912033324667652e-05,0.052040236474,0.052025117016,0.052242534634,67.96531165999981,8.052120963853115,73.44830529600004,224.2513761076667,27.529428510905817,242.7290872230006,72.4355,8.518879720166652,78.2364,2109.8203125,6.847862366763852,2107.32421875,2108.8854166666665,6.56493656197202,2105.65234375,2090.0211588541665,6.437295772600934,2086.849609375,2089.0784505208335,6.184455936247736,2085.212890625,2087.8841145833335,6.43130369436877,2084.07421875,2086.98828125,6.245410912878602,2082.63671875,3979;3979;3979,3977;3977;3977,1;1;1,3979;3979;3979,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,a02de9fde32902582637605791cdf050028efa3b54171d07a92b216f289b5d90,00f12463d520d5ac7297f62385f56757d56a029c,P15-eee_01-P-LIVO-r1;P15-eee_01-P-LIVO-r2;P15-eee_01-P-LIVO-r3,VALID_3_REPS
NTU,eee_02,N-LIO,false,N/A (camera off),1;1;1,3,3,0.021901091769,0.0,0.021901091769,0.021901091769,0.021901091769,32.70746114533336,3.6073897559609356,34.84012812400008,128.98496188133342,14.368266481934802,137.11316347600027,35.73553333333333,3.9889773002891626,38.0734,1715.6497395833333,1.8660276136500538,1715.765625,1715.08984375,1.9948078151543926,1714.0859375,1695.7952473958333,1.6297386394672453,1696.568359375,1695.2197265625,1.5584005875107887,1694.841796875,1693.1901041666667,1.861819813985302,1693.57421875,1692.6380208333333,1.9109784181251055,1691.91796875,0;0;0,0;0;0,0;0;0,3208;3208;3208,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,76e7349c106135cd6afbc042251d9d81688d5aac5b6fd3976c429616ab764263,0f4881acffd3a6958b1bf67ae07363a84b563d1a,P15-eee_02-N-LIO-r1;P15-eee_02-N-LIO-r2;P15-eee_02-N-LIO-r3,VALID_3_REPS
NTU,eee_02,P-LIO,false,N/A (camera off),1;1;1,3,3,0.017281438879,0.0,0.017281438879,0.017281438879,0.017281438879,27.38717890166671,4.348109599622402,28.597296576,102.88445873466635,16.173225713647472,107.7911698089994,30.939999999999998,4.722001254411805,32.2467,294.0677083333333,1.7733294677692244,294.5859375,293.18359375,1.5123326568927111,292.61328125,274.4137369791667,2.239608125771203,275.2626953125,273.5100911458333,1.5297681077849414,274.5869140625,272.30078125,2.7438025722231805,273.1484375,271.4440104166667,2.030010973603687,272.54296875,0;0;0,0;0;0,0;0;0,3204;3204;3204,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,76e7349c106135cd6afbc042251d9d81688d5aac5b6fd3976c429616ab764263,00f12463d520d5ac7297f62385f56757d56a029c,P15-eee_02-P-LIO-r1;P15-eee_02-P-LIO-r2;P15-eee_02-P-LIO-r3,VALID_3_REPS
NTU,eee_02,N-LIVO-STRIDE,true,1,1;1;1,3,3,0.035967195907666664,8.486894024790642e-05,0.035962174634,0.035865854748,0.036073558341,62.09557478966673,7.502474217884639,66.62061142700007,218.1983155473325,29.154277707386065,236.6463366109998,67.49310000000001,9.060809103312282,71.176,3111.1458333333335,1.5070240724369712,3110.36328125,3111.1458333333335,1.5070240724369712,3110.36328125,3091.41796875,1.7084245734932022,3090.5498046875,3091.41796875,1.7084245734932022,3090.5498046875,3088.8177083333335,1.4441941525352517,3087.91796875,3088.8177083333335,1.4441941525352517,3087.91796875,3207;3207;3207,3205;3205;3205,0;0;0,3206;3206;3206,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,a02de9fde32902582637605791cdf050028efa3b54171d07a92b216f289b5d90,0f4881acffd3a6958b1bf67ae07363a84b563d1a,P15-eee_02-N-LIVO-r1;P15-eee_02-N-LIVO-r2;P15-eee_02-N-LIVO-r3,VALID_3_REPS
NTU,eee_02,P-LIVO-STRIDE,true,1,1;1;1,3,3,0.02754086208333333,0.0001674286999523751,0.027535443128,0.027338567828,0.027748575294,55.331914521333324,7.801907237940007,57.26968744299993,187.19634383766675,26.498673559393293,194.279858277,60.26303333333334,9.589977294492877,61.174,1696.8958333333333,24.08392776758828,1711.2578125,1696.8958333333333,24.08392776758828,1711.2578125,1677.6627604166667,22.743455809613277,1690.8408203125,1677.6627604166667,22.743455809613277,1690.8408203125,1675.5,22.337415103932475,1688.80078125,1675.5,22.337415103932475,1688.80078125,3202;3202;3202,3200;3200;3200,0;0;0,3202;3202;3202,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,a02de9fde32902582637605791cdf050028efa3b54171d07a92b216f289b5d90,00f12463d520d5ac7297f62385f56757d56a029c,P15-eee_02-P-LIVO-r1;P15-eee_02-P-LIVO-r2;P15-eee_02-P-LIVO-r3,VALID_3_REPS
NTU,eee_03,N-LIO,false,N/A (camera off),1;1;1,3,3,0.031571706463,0.0,0.031571706463,0.031571706463,0.031571706463,20.305917121333323,3.201250382462961,20.742827771999984,76.95419006200005,10.293039822950663,79.96732120599988,22.344666666666665,3.464977553879518,23.0042,1331.8828125,1.5053648905750532,1331.2265625,1331.8828125,1.5053648905750532,1331.2265625,1311.810546875,1.450301733083171,1311.6259765625,1311.810546875,1.450301733083171,1311.6259765625,1309.234375,1.8236122184931478,1308.671875,1309.234375,1.8236122184931478,1308.671875,0;0;0,0;0;0,0;0;0,1812;1812;1812,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,76e7349c106135cd6afbc042251d9d81688d5aac5b6fd3976c429616ab764263,0f4881acffd3a6958b1bf67ae07363a84b563d1a,P15-eee_03-N-LIO-r1;P15-eee_03-N-LIO-r2;P15-eee_03-N-LIO-r3,VALID_3_REPS
NTU,eee_03,P-LIO,false,N/A (camera off),1;1;1,3,3,0.029984326738999995,0.0,0.029984326739,0.029984326739,0.029984326739,17.292184738333344,4.313861745331321,16.36915036600001,64.68930901333337,15.692880750285589,61.60771387900011,19.5259,4.741456842223355,18.5473,250.24348958333334,1.8216206330314124,249.234375,249.96354166666666,1.4294147242816044,249.234375,229.94791666666666,1.5889257748345218,229.4931640625,229.6484375,1.1943198343575765,229.4931640625,227.31770833333334,1.9034685921250702,226.52734375,227.04166666666666,1.5254805122274633,226.52734375,0;0;0,0;0;0,0;0;0,1808;1808;1808,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,76e7349c106135cd6afbc042251d9d81688d5aac5b6fd3976c429616ab764263,00f12463d520d5ac7297f62385f56757d56a029c,P15-eee_03-P-LIO-r1;P15-eee_03-P-LIO-r2;P15-eee_03-P-LIO-r3,VALID_3_REPS
