execution_index,slot_id,dataset,sequence,variant,repetition,order_block,position_in_block,status,ate_rmse_m,replaces_run_id,actual_run_id,notes
1,P15-eee_01-N-LIO-r1,NTU,eee_01,N-LIO,1,1,1,VALID,0.030760061559,,P15-eee_01-N-LIO-r1,formal_status=VALID; ATE_RMSE_m=0.030760; rows=3985
2,P15-eee_01-P-LIO-r1,NTU,eee_01,P-LIO,1,1,2,VALID,0.049511281713,,P15-eee_01-P-LIO-r1,formal_status=VALID; ATE_RMSE_m=0.049511; rows=3981
3,P15-eee_01-N-LIVO-r1,NTU,eee_01,N-LIVO,1,1,3,VALID,0.028777823814,,P15-eee_01-N-LIVO-r1,formal_status=VALID; ATE_RMSE_m=0.028778; rows=3983
4,P15-eee_01-P-LIVO-r1,NTU,eee_01,P-LIVO,1,1,4,VALID,0.052242534634,,P15-eee_01-P-LIVO-r1,formal_status=VALID; ATE_RMSE_m=0.052243; rows=3979
5,P15-eee_02-P-LIO-r1,NTU,eee_02,P-LIO,1,2,1,VALID,0.017281438879,,P15-eee_02-P-LIO-r1,formal_status=VALID; ATE_RMSE_m=0.017281; rows=3204
6,P15-eee_02-N-LIVO-r1,NTU,eee_02,N-LIVO,1,2,2,VALID,0.035865854748,,P15-eee_02-N-LIVO-r1,formal_status=VALID; ATE_RMSE_m=0.035866; rows=3206
7,P15-eee_02-P-LIVO-r1,NTU,eee_02,P-LIVO,1,2,3,VALID,0.027535443128,,P15-eee_02-P-LIVO-r1,formal_status=VALID; ATE_RMSE_m=0.027535; rows=3202
8,P15-eee_02-N-LIO-r1,NTU,eee_02,N-LIO,1,2,4,VALID,0.021901091769,,P15-eee_02-N-LIO-r1,formal_status=VALID; ATE_RMSE_m=0.021901; rows=3208
9,P15-eee_03-N-LIVO-r1,NTU,eee_03,N-LIVO,1,3,1,VALID,0.030244318331,,P15-eee_03-N-LIVO-r1,formal_status=VALID; ATE_RMSE_m=0.030244; rows=1810
10,P15-eee_03-P-LIVO-r1,NTU,eee_03,P-LIVO,1,3,2,VALID,0.029665227352,,P15-eee_03-P-LIVO-r1,formal_status=VALID; ATE_RMSE_m=0.029665; rows=1806
11,P15-eee_03-N-LIO-r1,NTU,eee_03,N-LIO,1,3,3,VALID,0.031571706463,,P15-eee_03-N-LIO-r1,formal_status=VALID; ATE_RMSE_m=0.031572; rows=1812
12,P15-eee_03-P-LIO-r1,NTU,eee_03,P-LIO,1,3,4,VALID,0.029984326739,,P15-eee_03-P-LIO-r1,formal_status=VALID; ATE_RMSE_m=0.029984; rows=1808
13,P15-nya_01-P-LIVO-r1,NTU,nya_01,P-LIVO,1,4,1,VALID,0.038850967485,,P15-nya_01-P-LIVO-r1,formal_status=VALID; ATE_RMSE_m=0.038851; rows=3941
14,P15-nya_01-N-LIO-r1,NTU,nya_01,N-LIO,1,4,2,VALID,0.027764369868,,P15-nya_01-N-LIO-r1,formal_status=VALID; ATE_RMSE_m=0.027764; rows=3948
15,P15-nya_01-P-LIO-r1,NTU,nya_01,P-LIO,1,4,3,VALID,0.023256332556,,P15-nya_01-P-LIO-r1,formal_status=VALID; ATE_RMSE_m=0.023256; rows=3944
16,P15-nya_01-N-LIVO-r1,NTU,nya_01,N-LIVO,1,4,4,VALID,0.037964516246,,P15-nya_01-N-LIVO-r1,formal_status=VALID; ATE_RMSE_m=0.037965; rows=3945
17,P15-nya_02-N-LIO-r1,NTU,nya_02,N-LIO,1,5,1,VALID,0.029233703789,,P15-nya_02-N-LIO-r1,formal_status=VALID; ATE_RMSE_m=0.029234; rows=4284
18,P15-nya_02-P-LIO-r1,NTU,nya_02,P-LIO,1,5,2,VALID,0.029556829655,,P15-nya_02-P-LIO-r1,formal_status=VALID; ATE_RMSE_m=0.029557; rows=4280
19,P15-nya_02-N-LIVO-r1,NTU,nya_02,N-LIVO,1,5,3,VALID,0.036969829948,,P15-nya_02-N-LIVO-r1,formal_status=VALID; ATE_RMSE_m=0.036970; rows=4283
20,P15-nya_02-P-LIVO-r1,NTU,nya_02,P-LIVO,1,5,4,VALID,0.046962828218,,P15-nya_02-P-LIVO-r1,formal_status=VALID; ATE_RMSE_m=0.046963; rows=4279
21,P15-nya_03-P-LIO-r1,NTU,nya_03,P-LIO,1,6,1,VALID,0.025757128560,,P15-nya_03-P-LIO-r1,formal_status=VALID; ATE_RMSE_m=0.025757; rows=4088
22,P15-nya_03-N-LIVO-r1,NTU,nya_03,N-LIVO,1,6,2,VALID,0.033331916403,,P15-nya_03-N-LIVO-r1,formal_status=VALID; ATE_RMSE_m=0.033332; rows=4090
23,P15-nya_03-P-LIVO-r1,NTU,nya_03,P-LIVO,1,6,3,VALID,0.031899786164,,P15-nya_03-P-LIVO-r1,formal_status=VALID; ATE_RMSE_m=0.031900; rows=4086
24,P15-nya_03-N-LIO-r1,NTU,nya_03,N-LIO,1,6,4,VALID,0.028883185208,,P15-nya_03-N-LIO-r1,formal_status=VALID; ATE_RMSE_m=0.028883; rows=4092
25,P15-sbs_01-N-LIVO-r1,NTU,sbs_01,N-LIVO,1,7,1,VALID,0.028938280152,,P15-sbs_01-N-LIVO-r1,formal_status=VALID; ATE_RMSE_m=0.028938; rows=3538
26,P15-sbs_01-P-LIVO-r1,NTU,sbs_01,P-LIVO,1,7,2,VALID,0.029509392195,,P15-sbs_01-P-LIVO-r1,formal_status=VALID; ATE_RMSE_m=0.029509; rows=3534
27,P15-sbs_01-N-LIO-r1,NTU,sbs_01,N-LIO,1,7,3,VALID,0.027765936400,,P15-sbs_01-N-LIO-r1,formal_status=VALID; ATE_RMSE_m=0.027766; rows=3540
28,P15-sbs_01-P-LIO-r1,NTU,sbs_01,P-LIO,1,7,4,VALID,0.025729330675,,P15-sbs_01-P-LIO-r1,formal_status=VALID; ATE_RMSE_m=0.025729; rows=3536
29,P15-sbs_02-P-LIVO-r1,NTU,sbs_02,P-LIVO,1,8,1,VALID,0.028524672467,,P15-sbs_02-P-LIVO-r1,formal_status=VALID; ATE_RMSE_m=0.028525; rows=3724
30,P15-sbs_02-N-LIO-r1,NTU,sbs_02,N-LIO,1,8,2,VALID,0.026968429626,,P15-sbs_02-N-LIO-r1,formal_status=VALID; ATE_RMSE_m=0.026968; rows=3729
31,P15-sbs_02-P-LIO-r1,NTU,sbs_02,P-LIO,1,8,3,VALID,0.024137094563,,P15-sbs_02-P-LIO-r1,formal_status=VALID; ATE_RMSE_m=0.024137; rows=3725
32,P15-sbs_02-N-LIVO-r1,NTU,sbs_02,N-LIVO,1,8,4,VALID,0.028718163320,,P15-sbs_02-N-LIVO-r1,formal_status=VALID; ATE_RMSE_m=0.028718; rows=3728
33,P15-sbs_03-N-LIO-r1,NTU,sbs_03,N-LIO,1,9,1,VALID,0.033383139769,,P15-sbs_03-N-LIO-r1,formal_status=VALID; ATE_RMSE_m=0.033383; rows=3891
34,P15-sbs_03-P-LIO-r1,NTU,sbs_03,P-LIO,1,9,2,VALID,0.025554175775,,P15-sbs_03-P-LIO-r1,formal_status=VALID; ATE_RMSE_m=0.025554; rows=3887
35,P15-sbs_03-N-LIVO-r1,NTU,sbs_03,N-LIVO,1,9,3,VALID,0.031150490627,,P15-sbs_03-N-LIVO-r1,formal_status=VALID; ATE_RMSE_m=0.031150; rows=3889
36,P15-sbs_03-P-LIVO-r1,NTU,sbs_03,P-LIVO,1,9,4,VALID,0.028222274762,,P15-sbs_03-P-LIVO-r1,formal_status=VALID; ATE_RMSE_m=0.028222; rows=3885
37,P15-Church_05-P-LIO-r1,OXFORD,Church_05,P-LIO,1,10,1,VALID,0.244000000000,,P15-Church_05-P-LIO-r1,formal_status=VALID; ATE_RMSE_m=0.244000; rows=8001
38,P15-Church_05-N-LIVO-r1,OXFORD,Church_05,N-LIVO,1,10,2,VALID,0.212800000000,,P15-Church_05-N-LIVO-r1,formal_status=VALID; ATE_RMSE_m=0.212800; rows=3959
39,P15-Church_05-P-LIVO-r1,OXFORD,Church_05,P-LIVO,1,10,3,VALID,0.229200000000,,P15-Church_05-P-LIVO-r1,formal_status=VALID; ATE_RMSE_m=0.229200; rows=3956
40,P15-Church_05-N-LIO-r1,OXFORD,Church_05,N-LIO,1,10,4,VALID,0.226500000000,,P15-Church_05-N-LIO-r1,formal_status=VALID; ATE_RMSE_m=0.226500; rows=8005
41,P15-College_03-N-LIVO-r1,OXFORD,College_03,N-LIVO,1,11,1,VALID,0.074600000000,,P15-College_03-N-LIVO-r1,formal_status=VALID; ATE_RMSE_m=0.074600; rows=5673
42,P15-College_03-P-LIVO-r1,OXFORD,College_03,P-LIVO,1,11,2,VALID,1.157100000000,,P15-College_03-P-LIVO-r1,formal_status=VALID; ATE_RMSE_m=1.157100; rows=5673; ALGORITHM_RED backend_rejected=2814 visual_commits=87/5673
43,P15-College_03-N-LIO-r1,OXFORD,College_03,N-LIO,1,11,3,VALID,0.054000000000,,P15-College_03-N-LIO-r1,formal_status=VALID; ATE_RMSE_m=0.054000; rows=2865
44,P15-College_03-P-LIO-r1,OXFORD,College_03,P-LIO,1,11,4,VALID,0.074800000000,,P15-College_03-P-LIO-r1,formal_status=VALID; ATE_RMSE_m=0.074800; rows=2861
45,P15-Palace_01-P-LIVO-r1,OXFORD,Palace_01,P-LIVO,1,12,1,VALID,1.845100000000,,P15-Palace_01-P-LIVO-r1,formal_status=VALID; ATE_RMSE_m=1.845100; rows=8031; ALGORITHM_RED backend_rejected=3980 visual_commits=121/8031
46,P15-Palace_01-N-LIO-r1,OXFORD,Palace_01,N-LIO,1,12,2,VALID,0.147600000000,,P15-Palace_01-N-LIO-r1,formal_status=VALID; ATE_RMSE_m=0.147600; rows=4051
47,P15-Palace_01-P-LIO-r1,OXFORD,Palace_01,P-LIO,1,12,3,INCOMPLETE_TRAJECTORY,111871.772500000006,,P15-Palace_01-P-LIO-r1,formal_status=VALID; ATE_RMSE_m=111871.772500; rows=1419; INCOMPLETE_TRAJECTORY lidar_read=4052
48,P15-Palace_01-N-LIVO-r1,OXFORD,Palace_01,N-LIVO,1,12,4,VALID,0.129500000000,,P15-Palace_01-N-LIVO-r1,formal_status=VALID; ATE_RMSE_m=0.129500; rows=8030
49,P15-Quarter_01-N-LIO-r1,OXFORD,Quarter_01,N-LIO,1,13,1,VALID,0.062800000000,,P15-Quarter_01-N-LIO-r1,formal_status=VALID; ATE_RMSE_m=0.062800; rows=2893
50,P15-Quarter_01-P-LIO-r1,OXFORD,Quarter_01,P-LIO,1,13,2,INCOMPLETE_TRAJECTORY,22634.745900000002,,P15-Quarter_01-P-LIO-r1,formal_status=VALID; ATE_RMSE_m=22634.745900; rows=1173; INCOMPLETE_TRAJECTORY lidar_read=2894
51,P15-Quarter_01-N-LIVO-r1,OXFORD,Quarter_01,N-LIVO,1,13,3,VALID,0.075300000000,,P15-Quarter_01-N-LIVO-r1,formal_status=VALID; ATE_RMSE_m=0.075300; rows=5736
52,P15-Quarter_01-P-LIVO-r1,OXFORD,Quarter_01,P-LIVO,1,13,4,VALID,5.935800000000,,P15-Quarter_01-P-LIVO-r1,formal_status=VALID; ATE_RMSE_m=5.935800; rows=5737; ALGORITHM_RED backend_rejected=2843 visual_commits=74/5737
53,P15-nya_02-P-LIO-r2,NTU,nya_02,P-LIO,2,14,1,VALID,0.029556829655,,P15-nya_02-P-LIO-r2,formal_status=VALID; ATE_RMSE_m=0.029557; rows=4280
54,P15-nya_02-N-LIVO-r2,NTU,nya_02,N-LIVO,2,14,2,VALID,0.036969829948,,P15-nya_02-N-LIVO-r2,formal_status=VALID; ATE_RMSE_m=0.036970; rows=4283
55,P15-nya_02-P-LIVO-r2,NTU,nya_02,P-LIVO,2,14,3,VALID,0.046851751619,,P15-nya_02-P-LIVO-r2,formal_status=VALID; ATE_RMSE_m=0.046852; rows=4279
56,P15-nya_02-N-LIO-r2,NTU,nya_02,N-LIO,2,14,4,VALID,0.029233703789,,P15-nya_02-N-LIO-r2,formal_status=VALID; ATE_RMSE_m=0.029234; rows=4284
57,P15-nya_03-N-LIVO-r2,NTU,nya_03,N-LIVO,2,15,1,VALID,0.033331866156,,P15-nya_03-N-LIVO-r2,formal_status=VALID; ATE_RMSE_m=0.033332; rows=4090
58,P15-nya_03-P-LIVO-r2,NTU,nya_03,P-LIVO,2,15,2,VALID,0.031920364763,,P15-nya_03-P-LIVO-r2,formal_status=VALID; ATE_RMSE_m=0.031920; rows=4086
