sequence,variant,mode,camera_mode,input_semantics,affinity,workers,backend_attempted,backend_success,backend_rejected,trajectory_rows,trajectory_sha256,late_point_epochs,late_point_count,late_point_median_us,late_point_max_us,camera_epochs,images_received,visual_process_calls,visual_state_commits,visual_rollbacks,ate_rmse_m,run_rc,status,run_dir
Church_05,P-LIO,offline,off,fast_native,0-31,32,8007,8007,0,8001,a85400ba437ed456dd78694828001e0047a03f77c814290558ddd5931a7d35ca,0,0,nan,nan,0,0,0,0,0,0.2440,0,PASS,results/prob_livo/runs/prompt17_post_oxford_p_lio_Church_05
Palace_01,P-LIO,offline,off,fast_native,0-31,32,4052,4052,0,4047,0a6016f413dc715c97ef668c5aedb1de41aa8431bf2537c2c0745762461875c3,2630,4810,1.78814,39.8159,0,0,0,0,0,0.1272,0,PASS,results/prob_livo/runs/prompt17_post_oxford_p_lio_Palace_01_trace2
Quarter_01,P-LIO,offline,off,fast_native,0-31,32,2894,2894,0,2889,38f9f0c7b6c8a888acbb8f5120845a8b4efaa526a76b070b626511a48c48463b,1719,2541,1.43051,44.1074,0,0,0,0,0,0.0510,0,PASS,results/prob_livo/runs/prompt17_post_oxford_p_lio_Quarter_01
Church_05,P-LIVO,offline,h1,fast_native,0-31,32,3960,3960,0,3956,2d35233791fb9157e23de1eb6116c45cbcb8fdc45b4996ce3fe33072d1adda8c,0,0,nan,nan,3961,3961,3956,3954,6362,0.2278,0,PASS,results/prob_livo/runs/prompt17_post_oxford_p_livo_Church_05
College_03,P-LIVO,offline,h1,fast_native,0-31,32,5680,5680,0,5673,ceb4362b14962c3a6267d3f4588dc6244962bdc307fa1c46f55a0e522a2bd9e4,2820,37761895,12939,50721.4,5681,5681,5673,2874,4751,0.1318,0,PASS,results/prob_livo/runs/prompt17_post_oxford_p_livo_College_03
Palace_01,P-LIVO,offline,h1,fast_native,0-31,32,8038,8038,0,8031,708c4eea55a27b9403149b291dbf5a4b04f599afef6cbc43e580edf491b89fb1,3983,56539219,14911.2,50242.2,8039,8039,8031,4054,6648,0.2280,0,PASS,results/prob_livo/runs/prompt17_post_oxford_p_livo_Palace_01
Quarter_01,P-LIVO,offline,h1,fast_native,0-31,32,5744,5744,0,5737,4d73733d6551aa682dac5016557c9bdf5c57cd542a17ffa83803537a9f1a2639,2846,42205770,14678.7,50237.7,5745,5745,5737,2893,4850,0.0680,0,PASS,results/prob_livo/runs/prompt17_post_oxford_p_livo_Quarter_01
Palace_01,P-LIO,online,off,fast_native,0-31,32,4052,4052,0,4047,0a6016f413dc715c97ef668c5aedb1de41aa8431bf2537c2c0745762461875c3,2630,4810,1.78814,39.8159,0,0,0,0,0,0.1272,0,PASS,results/prob_livo/runs/prompt17_online_oxford_p_lio_Palace_01_trace
Church_05,P-LIO,offline4,off,fast_native,"0,2,4,6",4,8007,8007,0,8001,a85400ba437ed456dd78694828001e0047a03f77c814290558ddd5931a7d35ca,0,0,nan,nan,0,0,0,0,0,0.2440,0,PASS,results/prob_livo/runs/prompt17_final4_p_lio_Church_05
Palace_01,P-LIO,offline4,off,fast_native,"0,2,4,6",4,4052,4052,0,4047,0a6016f413dc715c97ef668c5aedb1de41aa8431bf2537c2c0745762461875c3,2630,4810,1.78814,39.8159,0,0,0,0,0,0.1272,0,PASS,results/prob_livo/runs/prompt17_final4_p_lio_Palace_01
Quarter_01,P-LIO,offline4,off,fast_native,"0,2,4,6",4,2894,2894,0,2889,38f9f0c7b6c8a888acbb8f5120845a8b4efaa526a76b070b626511a48c48463b,1719,2541,1.43051,44.1074,0,0,0,0,0,0.0510,0,PASS,results/prob_livo/runs/prompt17_final4_p_lio_Quarter_01
Church_05,P-LIVO,offline4,h1,fast_native,"0,2,4,6",4,3960,3960,0,3956,396318a54bce0d711716888ee970778372682cefd91ca5e30f17969966f6cb5d,0,0,nan,nan,3961,3961,3956,3953,6315,0.2285,0,PASS,results/prob_livo/runs/prompt17_final4_p_livo_Church_05
College_03,P-LIVO,offline4,h1,fast_native,"0,2,4,6",4,5680,5680,0,5673,60a1c8facb739dbc98b7331c1b2ba897d05b2bab93a30aaca633d51a3d5a4bf7,0,0,nan,nan,5681,5681,5673,2872,4700,0.1115,0,PASS,results/prob_livo/runs/prompt17_final4_p_livo_College_03
