axis,variant,sequence,stride,repetitions,ate_rmse_runs_m,ate_mean_m,ate_sd_m,trajectory_rows,backend_or_scheduler_attempts,backend_rejected,visual_process_calls,visual_commits_runs,camera_images_read,camera_images_seen,camera_images_dropped,selected_timestamps_sha256,status,evidence
A,P0,Church_05,1,3,"0.2303|0.2342|0.2352",0.2332333,0.0025891,3956,3960,0,"3956|3956|3956","3953|3954|3953",3961,3961,0,not-recorded-pre-edit-binary,PASS,"prompt18_p0_p_livo_Church_05_r1_retry;prompt18_p0_p_livo_Church_05_r2;prompt18_p0_p_livo_Church_05_r3;late_point_trace.csv"
A,P0,College_03,2,3,"0.2593|0.1070|0.1072",0.1578333,0.0878728,5673,5680,0,"5673|5673|5673","2872|2871|2871",5681,5681,0,not-recorded-pre-edit-binary,PASS,"prompt18_p0_p_livo_College_03_r1;prompt18_p0_p_livo_College_03_r2;prompt18_p0_p_livo_College_03_r3;late_point_trace.csv"
A,P0,Palace_01,2,3,"0.2200|0.2166|0.2232",0.2199333,0.0033005,8031,8038,0,"8031|8031|8031","4054|4054|4053",8039,8039,0,not-recorded-pre-edit-binary,PASS,"prompt18_p0_p_livo_Palace_01_r1;prompt18_p0_p_livo_Palace_01_r2;prompt18_p0_p_livo_Palace_01_r3;late_point_trace.csv"
A,P0,Quarter_01,2,3,"0.0689|0.0681|0.0639",0.0669667,0.0026858,5737,5744,0,"5737|5737|5737","2893|2893|2894",5745,5745,0,not-recorded-pre-edit-binary,PASS,"prompt18_p0_p_livo_Quarter_01_r1;prompt18_p0_p_livo_Quarter_01_r2;prompt18_p0_p_livo_Quarter_01_r3;late_point_trace.csv"
A,P1,Church_05,1,3,"0.2268|0.2241|0.2240",0.2249667,0.0015885,3956,3960,0,"3956|3956|3956","3954|3954|3954",3961,3961,0,ada0f71ab84fe97d78a9d7ae4c17418f08876e98599731687d32f5778ef30336,PASS,"prompt18_p1_p_livo_Church_05_r1;prompt18_p1_p_livo_Church_05_r2;prompt18_p1_p_livo_Church_05_r3"
A,P1,College_03,2,3,"0.0961|0.0986|0.0952",0.0966333,0.0017616,5673,5680,0,"5673|5673|5673","4763|4742|4760",5681,5681,0,40843a601ddb1db664cc929d474c35772bf1df829b8391199a1d863fb61e5b12,PASS,"prompt18_p1_p_livo_College_03_r1;prompt18_p1_p_livo_College_03_r2_fix;prompt18_p1_p_livo_College_03_r3_fix"
A,P1,Palace_01,2,3,"0.3350|0.3231|0.3291",0.3290667,0.0059501,8031,8038,0,"8031|8031|8031","6745|6730|6717",8039,8039,0,8db5c4ba7b35334f4f20007a49f58e8321909b351649c4a5815bbdcf0d0cc0da,PASS,"prompt18_p1_p_livo_Palace_01_r1_fix;prompt18_p1_p_livo_Palace_01_r2_fix;prompt18_p1_p_livo_Palace_01_r3_fix"
A,P1,Quarter_01,2,3,"0.0694|0.0673|0.0744",0.0703667,0.0036474,5737,5744,0,"5737|5737|5737","4877|4871|4886",5745,5745,0,bbcbc21cfa3130cc6b5800132555fa58363dbcf30d39b1c859100f9ada4b11c8,PASS,"prompt18_p1_p_livo_Quarter_01_r1_fix;prompt18_p1_p_livo_Quarter_01_r2_fix;prompt18_p1_p_livo_Quarter_01_r3_fix"
B,P2,Church_05,1,3,"0.2294|0.2335|0.2306",0.2311667,0.0021079,3956,3960,0,"3956|3956|3956","3954|3954|3954",3961,3961,0,ada0f71ab84fe97d78a9d7ae4c17418f08876e98599731687d32f5778ef30336,PASS,"prompt18_p2_p_livo_Church_05_r1;prompt18_p2_p_livo_Church_05_r2;prompt18_p2_p_livo_Church_05_r3"
B,P2,College_03,2,3,"0.0908|0.0923|0.0931",0.0920667,0.0011676,2834,2840,0,"2834|2834|2834","2832|2832|2831",2840,5681,2841,30df87679ddd892df4026617ebf7c051e788d4e65905bcbffd6191be7598b089,PASS,"prompt18_p2_p_livo_College_03_r1;prompt18_p2_p_livo_College_03_r2;prompt18_p2_p_livo_College_03_r3"
