axis,arm,sequence,repetition,stride,bucket_policy,mode,status,affinity,workers,build,ate_rmse_m,gt_matches,trajectory_rows,backend_attempted,backend_success,backend_rejected,estimator_wall_s,estimator_epoch_count,estimator_wall_per_epoch_s,estimator_cpu_s,estimator_cpu_per_epoch_s,total_wall_s,process_cpu_s,bag_reader_s,peak_rss_mib,final_rss_mib,peak_pss_mib,final_pss_mib,peak_uss_mib,final_uss_mib,median_raw_cpu_pct,peak_raw_cpu_pct,image_read,image_seen,image_dropped,visual_process_calls,visual_state_commits,selected_timestamp_sha256,run_dir,notes
A,P0,Church_05,1,1,native_blind_carry,offline,CLEAN_SUCCESS,"0,2,4,6",4,Release,0.229,3956,3956,3960,3960,0,128.030430543,7920,0.016165458,332.965465633,0.042041094,186.819,479.466,186.701,8053.359,8053.359,8036.009,8036.009,8031.902,8031.902,255.875,278.441,3961,3961,0,3956,3953,ada0f71ab84fe97d78a9d7ae4c17418f08876e98599731687d32f5778ef30336,results/prob_livo/runs/prompt19_canon_p0_Church_05_r1,canonical primary r1
A,P0,Church_05,2,1,native_blind_carry,offline,CLEAN_SUCCESS,"0,2,4,6",4,Release,0.2316,3956,3956,3960,3960,0,130.830101192,7920,0.016518952,340.448828632,0.042985963,190.322,489.15,190.199,8069.004,8069.004,8054.262,8054.262,8051.871,8051.871,256.200,280.541,3961,3961,0,3956,3954,ada0f71ab84fe97d78a9d7ae4c17418f08876e98599731687d32f5778ef30336,results/prob_livo/runs/prompt19_clean_p0_Church_05_r2,canonical primary; clean serial replacement for r2/r3
A,P0,Church_05,3,1,native_blind_carry,offline,CLEAN_SUCCESS,"0,2,4,6",4,Release,0.2282,3956,3956,3960,3960,0,128.513213598,7920,0.016226416,335.28311251,0.042333726,186.991,480.876,186.868,8091.137,8091.137,8076.064,8076.064,8073.922,8073.922,256.285,283.620,3961,3961,0,3956,3954,ada0f71ab84fe97d78a9d7ae4c17418f08876e98599731687d32f5778ef30336,results/prob_livo/runs/prompt19_clean_p0_Church_05_r3,canonical primary; clean serial replacement for r2/r3
A,P0,College_03,1,2,native_blind_carry,offline,CLEAN_SUCCESS,"0,2,4,6",4,Release,0.1055,5673,5673,5680,5680,0,105.885437708,11359,0.009321722,269.024497269,0.023683819,181.527,391.881,181.476,10832.586,10832.586,10815.666,10815.666,10811.719,10811.719,216.594,236.322,5682,5682,0,5673,2872,40843a601ddb1db664cc929d474c35772bf1df829b8391199a1d863fb61e5b12,results/prob_livo/runs/prompt19_canon_p0_College_03_r1,canonical primary r1
A,P0,College_03,2,2,native_blind_carry,offline,CLEAN_SUCCESS,"0,2,4,6",4,Release,0.1095,5673,5673,5680,5680,0,107.172875463,11359,0.009435063,269.445953047,0.023720922,184.151,394.702,184.095,10859.750,10859.750,10847.252,10847.252,10842.367,10842.367,214.877,234.292,5682,5682,0,5673,2871,40843a601ddb1db664cc929d474c35772bf1df829b8391199a1d863fb61e5b12,results/prob_livo/runs/prompt19_clean_p0_College_03_r2,canonical primary; clean serial replacement for r2/r3
A,P0,College_03,3,2,native_blind_carry,offline,CLEAN_SUCCESS,"0,2,4,6",4,Release,0.1159,5673,5673,5680,5680,0,107.099426555,11359,0.009428596,269.486717894,0.023724511,183.788,394.433,183.736,10875.145,10875.145,10859.598,10859.598,10857.609,10857.609,214.060,231.790,5682,5682,0,5673,2872,40843a601ddb1db664cc929d474c35772bf1df829b8391199a1d863fb61e5b12,results/prob_livo/runs/prompt19_clean_p0_College_03_r3,canonical primary; clean serial replacement for r2/r3
A,P0,Palace_01,1,2,native_blind_carry,offline,CLEAN_SUCCESS,"0,2,4,6",4,Release,0.2181,8031,8031,8038,8038,0,133.910570929,16075,0.008330362,340.738821911,0.021196816,242.283,518.484,242.217,14790.551,14790.551,14773.510,14773.510,14769.418,14769.418,214.916,237.142,8041,8041,0,8031,4053,8db5c4ba7b35334f4f20007a49f58e8321909b351649c4a5815bbdcf0d0cc0da,results/prob_livo/runs/prompt19_canon_p0_Palace_01_r1,canonical primary r1
A,P0,Palace_01,2,2,native_blind_carry,offline,CLEAN_SUCCESS,"0,2,4,6",4,Release,0.2225,8031,8031,8038,8038,0,135.206021554,16075,0.00841095,344.237708218,0.021414476,244.525,522.263,244.455,14729.855,14729.855,14714.885,14714.885,14712.652,14712.652,214.833,232.523,8041,8041,0,8031,4054,8db5c4ba7b35334f4f20007a49f58e8321909b351649c4a5815bbdcf0d0cc0da,results/prob_livo/runs/prompt19_clean_p0_Palace_01_r2,canonical primary; clean serial replacement for r2/r3
A,P0,Palace_01,3,2,native_blind_carry,offline,CLEAN_SUCCESS,"0,2,4,6",4,Release,0.2163,8031,8031,8038,8038,0,134.070271417,16075,0.008340297,344.601614379,0.021437114,240.55,520.13,240.48,14791.242,14791.242,14776.058,14776.058,14774.012,14774.012,216.562,240.379,8041,8041,0,8031,4053,8db5c4ba7b35334f4f20007a49f58e8321909b351649c4a5815bbdcf0d0cc0da,results/prob_livo/runs/prompt19_clean_p0_Palace_01_r3,canonical primary; clean serial replacement for r2/r3
A,P0,Quarter_01,1,2,native_blind_carry,offline,CLEAN_SUCCESS,"0,2,4,6",4,Release,0.0674,5737,5737,5744,5744,0,112.140036521,11487,0.009762343,289.051420539,0.025163352,190.853,418.461,190.801,10845.117,10845.117,10828.012,10828.012,10823.996,10823.996,218.803,233.576,5746,5746,0,5737,2893,bbcbc21cfa3130cc6b5800132555fa58363dbcf30d39b1c859100f9ada4b11c8,results/prob_livo/runs/prompt19_canon_p0_Quarter_01_r1,canonical primary r1
A,P0,Quarter_01,2,2,native_blind_carry,offline,CLEAN_SUCCESS,"0,2,4,6",4,Release,0.0675,5737,5737,5744,5744,0,115.144850292,11487,0.010023927,296.459019395,0.02580822,194.8,428.041,194.748,10892.430,10892.430,10879.068,10879.068,10875.387,10875.387,219.603,232.594,5746,5746,0,5737,2893,bbcbc21cfa3130cc6b5800132555fa58363dbcf30d39b1c859100f9ada4b11c8,results/prob_livo/runs/prompt19_clean_p0_Quarter_01_r2,canonical primary; clean serial replacement for r2/r3
A,P0,Quarter_01,3,2,native_blind_carry,offline,CLEAN_SUCCESS,"0,2,4,6",4,Release,0.063,5737,5737,5744,5744,0,114.649925936,11487,0.009980841,294.390539797,0.025628148,195.044,427.832,194.957,10939.164,10939.164,10924.451,10924.451,10922.605,10922.605,220.038,239.005,5746,5746,0,5737,2893,bbcbc21cfa3130cc6b5800132555fa58363dbcf30d39b1c859100f9ada4b11c8,results/prob_livo/runs/prompt19_clean_p0_Quarter_01_r3,canonical primary; clean serial replacement for r2/r3
A,P0S,Church_05,1,1,native_blind_carry,offline,CLEAN_SUCCESS,"0,2,4,6",4,Release,0.2234,3956,3956,3960,3960,0,127.317007111,7920,0.01607538,331.201084709,0.041818319,185.784,475.388,185.669,8082.723,8082.723,8065.505,8065.505,8061.438,8061.438,255.605,275.308,3961,3961,0,3956,3954,ada0f71ab84fe97d78a9d7ae4c17418f08876e98599731687d32f5778ef30336,results/prob_livo/runs/prompt19_canon_p0s_Church_05_r1,canonical primary r1
A,P0S,Church_05,2,1,native_blind_carry,offline,CLEAN_SUCCESS,"0,2,4,6",4,Release,0.2298,3956,3956,3960,3960,0,129.584562294,7920,0.016361687,337.323879906,0.042591399,188.735,484.522,188.599,8096.992,8092.984,8083.460,8079.412,8079.703,8075.691,258.073,320.174,3961,3961,0,3956,3953,ada0f71ab84fe97d78a9d7ae4c17418f08876e98599731687d32f5778ef30336,results/prob_livo/runs/prompt19_clean_p0s_Church_05_r2,canonical primary; clean serial replacement for r2/r3
A,P0S,Church_05,3,1,native_blind_carry,offline,CLEAN_SUCCESS,"0,2,4,6",4,Release,0.2314,3956,3956,3960,3960,0,130.414115704,7920,0.016466429,339.463722857,0.042861581,190.048,487.942,189.922,8056.219,8056.219,8040.662,8040.662,8038.645,8038.645,256.678,277.762,3961,3961,0,3956,3954,ada0f71ab84fe97d78a9d7ae4c17418f08876e98599731687d32f5778ef30336,results/prob_livo/runs/prompt19_clean_p0s_Church_05_r3,canonical primary; clean serial replacement for r2/r3
A,P0S,College_03,1,2,native_blind_carry,offline,CLEAN_SUCCESS,"0,2,4,6",4,Release,0.0928,2834,2834,2840,2840,0,84.464034233,5679,0.014873047,219.814243505,0.038706505,126.819,321.615,126.767,5988.801,5988.801,5971.868,5971.868,5967.867,5967.867,253.292,274.003,2841,5682,2841,2834,2832,30df87679ddd892df4026617ebf7c051e788d4e65905bcbffd6191be7598b089,results/prob_livo/runs/prompt19_canon_p0s_College_03_r1,canonical primary r1
A,P0S,College_03,2,2,native_blind_carry,offline,CLEAN_SUCCESS,"0,2,4,6",4,Release,0.0908,2834,2834,2840,2840,0,86.173519536,5679,0.015174066,224.239587353,0.039485752,129.238,328.18,129.188,5914.273,5914.273,5899.786,5899.786,5897.094,5897.094,254.406,273.362,2841,5682,2841,2834,2832,30df87679ddd892df4026617ebf7c051e788d4e65905bcbffd6191be7598b089,results/prob_livo/runs/prompt19_clean_p0s_College_03_r2,canonical primary; clean serial replacement for r2/r3
A,P0S,College_03,3,2,native_blind_carry,offline,CLEAN_SUCCESS,"0,2,4,6",4,Release,0.0932,2834,2834,2840,2840,0,84.845434722,5679,0.014940207,221.099030442,0.03893274,127.521,323.757,127.472,5928.250,5928.250,5912.955,5912.955,5910.754,5910.754,253.972,270.804,2841,5682,2841,2834,2832,30df87679ddd892df4026617ebf7c051e788d4e65905bcbffd6191be7598b089,results/prob_livo/runs/prompt19_clean_p0s_College_03_r3,canonical primary; clean serial replacement for r2/r3
A,P0S,Palace_01,1,2,native_blind_carry,offline,CLEAN_SUCCESS,"0,2,4,6",4,Release,0.1284,4014,4014,4020,4020,0,115.813487537,8039,0.014406454,302.443059883,0.037621975,177.779,456.521,177.709,7962.844,7962.844,7945.921,7945.921,7941.973,7941.973,256.379,274.672,4021,8041,4020,4014,4012,b313f82875991a00193731dbf99d240b5c3db8cdf21e0e2ce24611fe05352986,results/prob_livo/runs/prompt19_canon_p0s_Palace_01_r1,canonical primary r1
