system,stage,stride,repetition,ate_rmse_m,peak_pss_mib,final_pss_mib,peak_uss_mib,final_uss_mib,visual_process_calls,visual_state_commits,visual_points_created,trajectory_rows,run_dir
Prob,V0,1,1,0.2133,14706.6,14706.6,14703.9,14703.9,8031,4053,751173,8031,results/prob_livo/runs/prompt20_v0_Palace_01_s1_r1
Prob,V0,1,2,0.2166,14826.7,14826.7,14824.3,14824.3,8031,4054,752708,8031,results/prob_livo/runs/prompt20_v0_Palace_01_s1_r2
Prob,V0,1,3,0.2226,14741.3,14741.3,14739.1,14739.1,8031,4053,753021,8031,results/prob_livo/runs/prompt20_v0_Palace_01_s1_r3
Prob,V0,2,1,0.1290,7973.2,7968.5,7971.0,7966.3,4014,4012,534062,4014,results/prob_livo/runs/prompt20_v0_Palace_01_s2_r1
Prob,V0,2,2,0.1312,7910.2,7910.2,7908.0,7908.0,4014,4012,534747,4014,results/prob_livo/runs/prompt20_v0_Palace_01_s2_r2
Prob,V0,2,3,0.1292,7913.6,7913.6,7911.4,7911.4,4014,4011,534897,4014,results/prob_livo/runs/prompt20_v0_Palace_01_s2_r3
Prob,V1,1,1,0.2185,14786.0,14786.0,14783.8,14783.8,8031,4053,752640,8031,results/prob_livo/runs/prompt20_v1_Palace_01_s1_r1
Prob,V1,1,2,0.2188,14717.6,14717.6,14715.2,14715.2,8031,4054,752538,8031,results/prob_livo/runs/prompt20_v1_Palace_01_s1_r2
Prob,V1,1,3,0.2242,14693.9,14693.9,14691.6,14691.6,8031,4054,753329,8031,results/prob_livo/runs/prompt20_v1_Palace_01_s1_r3
Prob,V1,2,1,0.1310,7882.4,7879.1,7878.8,7875.6,4014,4012,533851,4014,results/prob_livo/runs/prompt20_smoke_v1_Palace_01_s2_escalated
Prob,V1,2,2,0.1314,7925.6,7925.6,7923.2,7923.2,4014,4012,533461,4014,results/prob_livo/runs/prompt20_v1_Palace_01_s2_r2
Prob,V1,2,3,0.1315,7869.7,7869.4,7867.3,7867.0,4014,4012,534762,4014,results/prob_livo/runs/prompt20_v1_Palace_01_s2_r3
Prob,V2,1,1,0.2265,14731.7,14728.4,14729.5,14726.2,8031,4056,752251,8031,results/prob_livo/runs/prompt20_v2_Palace_01_s1_r1
Prob,V2,1,2,0.2168,14702.1,14702.1,14699.9,14699.9,8031,4055,752301,8031,results/prob_livo/runs/prompt20_v2_Palace_01_s1_r2
Prob,V2,1,3,0.2164,14705.4,14705.4,14703.3,14703.3,8031,4054,752082,8031,results/prob_livo/runs/prompt20_v2_Palace_01_s1_r3
Prob,V2,2,1,0.1307,7910.0,7910.0,7907.9,7907.9,4014,4012,533229,4014,results/prob_livo/runs/prompt20_v2_Palace_01_s2_r1
Prob,V2,2,2,0.1311,7903.5,7903.5,7901.4,7901.4,4014,4011,532965,4014,results/prob_livo/runs/prompt20_v2_Palace_01_s2_r2
Prob,V2,2,3,0.1297,7913.9,7909.1,7911.7,7907.0,4014,4012,533640,4014,results/prob_livo/runs/prompt20_v2_Palace_01_s2_r3
Native,N0L,1,1,0.1322,15910.5,15910.5,15908.4,15908.4,8037,8029,904050,8030,results/prob_livo/runs/prompt20_n0l_Palace_01_full_r1
Native,N0L,1,2,0.1303,15950.8,15950.8,15948.5,15948.5,8037,8029,903486,8030,results/prob_livo/runs/prompt20_n0l_Palace_01_full_r2
Native,N0L,1,3,0.1291,16007.4,16007.4,16005.0,16005.0,8037,8029,903516,8030,results/prob_livo/runs/prompt20_n0l_Palace_01_full_r3
Native,N1L,1,1,0.1303,15952.7,15952.7,15950.4,15950.4,8037,8029,903534,8030,results/prob_livo/runs/prompt20_n1l_Palace_01_full_r1
Native,N1L,1,2,0.1298,15999.5,15999.5,15997.1,15997.1,8037,8029,903917,8030,results/prob_livo/runs/prompt20_n1l_Palace_01_full_r2
Native,N1L,1,3,0.1275,15942.1,15942.1,15939.8,15939.8,8037,8029,903998,8030,results/prob_livo/runs/prompt20_n1l_Palace_01_full_r3
