family,sequence,arm,stride,config_authority,config_sha256,shared_semantic_sha256,source_heads,run_ids,repetitions,ate_rmse_m_mean,ate_rmse_m_std,ate_rmse_m_median,ate_rmse_m_min,ate_rmse_m_max,est_wall_s_mean,est_wall_s_std,est_wall_s_median,est_wall_s_min,est_wall_s_max,est_cpu_s_mean,est_cpu_s_std,est_cpu_s_median,est_cpu_s_min,est_cpu_s_max,offline_wall_s_mean,offline_wall_s_std,offline_wall_s_median,offline_wall_s_min,offline_wall_s_max,peak_pss_mib_mean,peak_pss_mib_std,peak_pss_mib_median,peak_pss_mib_min,peak_pss_mib_max,final_pss_mib_mean,final_pss_mib_std,final_pss_mib_median,final_pss_mib_min,final_pss_mib_max,peak_uss_mib_mean,peak_uss_mib_std,peak_uss_mib_median,peak_uss_mib_min,peak_uss_mib_max,final_uss_mib_mean,final_uss_mib_std,final_uss_mib_median,final_uss_mib_min,final_uss_mib_max,rows,backend_rejected,visual_calls,visual_commits,final_validity
NTU,eee_01,N-LIO,1,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,76e7349c106135cd6afbc042251d9d81688d5aac5b6fd3976c429616ab764263,0f4881acffd3a6958b1bf67ae07363a84b563d1a,P15-eee_01-N-LIO-r1;P15-eee_01-N-LIO-r2;P15-eee_01-N-LIO-r3,3,0.030760061559,0.0,0.030760061559,0.030760061559,0.030760061559,44.468526368333286,4.855129559921532,47.42344839800002,37.623593749999955,48.35853695699988,173.40968167899987,18.948263760223377,184.88273482399964,146.70098693200023,188.64532328099972,48.4819,5.091465363396539,51.5331,41.3081,52.6045,2566.6878255208335,1.326565014572566,2566.5810546875,2565.119140625,2568.36328125,2566.0133463541665,1.5520218190541664,2564.9794921875,2564.853515625,2568.20703125,2564.08203125,1.6554114180138497,2563.7734375,2562.2265625,2566.24609375,2563.4778645833335,1.8986205687338102,2562.2421875,2562.03125,2566.16015625,3985;3985;3985,0;0;0,0;0;0,0;0;0,VALID_3_REPS
NTU,eee_01,P-LIO,1,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,76e7349c106135cd6afbc042251d9d81688d5aac5b6fd3976c429616ab764263,00f12463d520d5ac7297f62385f56757d56a029c,P15-eee_01-P-LIO-r1;P15-eee_01-P-LIO-r2;P15-eee_01-P-LIO-r3,3,0.049511281713,0.0,0.049511281713,0.049511281713,0.049511281713,37.45760376566667,7.549272349642345,37.123917463999895,28.38303146200004,46.86586237100006,140.54660503333338,27.79189481243617,139.79110215200012,106.89266481100007,174.9560481369999,42.0544,8.492950571307166,41.4658,31.9595,52.7379,318.8343098958333,1.3544398105685673,319.6103515625,316.9296875,319.962890625,318.0517578125,1.3581961127557216,317.2626953125,316.9296875,319.962890625,316.2760416666667,1.5354074796197335,316.703125,314.21875,317.90625,315.5169270833333,1.6916192409839201,314.42578125,314.21875,317.90625,3981;3981;3981,0;0;0,0;0;0,0;0;0,VALID_3_REPS
NTU,eee_01,N-LIVO-STRIDE,1,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,a02de9fde32902582637605791cdf050028efa3b54171d07a92b216f289b5d90,0f4881acffd3a6958b1bf67ae07363a84b563d1a,P15-eee_01-N-LIVO-r1;P15-eee_01-N-LIVO-r2;P15-eee_01-N-LIVO-r3,3,0.029999763343000002,0.0017163645019898277,0.028794415818,0.028777823814,0.032427050397,77.384922545,8.342204625989913,81.30477892599993,65.7883657170002,85.06162299199987,267.93951650866586,33.14731885911979,283.51500914199795,221.86116895300123,298.44237143099843,82.6844,9.08393580338391,86.995,70.0486,91.0096,4416.0185546875,16.083661598189327,4406.7587890625,4402.65625,4438.640625,4416.0185546875,16.083661598189327,4406.7587890625,4402.65625,4438.640625,4413.489583333333,15.881456665738753,4404.77734375,4399.91796875,4435.7734375,4413.489583333333,15.881456665738753,4404.77734375,4399.91796875,4435.7734375,3983;3983;3983,0;0;0,3983;3983;3983,3982;3982;3982,VALID_3_REPS
NTU,eee_01,P-LIVO-STRIDE,1,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,a02de9fde32902582637605791cdf050028efa3b54171d07a92b216f289b5d90,00f12463d520d5ac7297f62385f56757d56a029c,P15-eee_01-P-LIVO-r1;P15-eee_01-P-LIVO-r2;P15-eee_01-P-LIVO-r3,3,0.05210262937466667,9.912033324667652e-05,0.052040236474,0.052025117016,0.052242534634,67.9653116599998,8.052120963853115,73.44830529600004,56.58046111699977,73.8671685669996,224.25137610766666,27.529428510905817,242.7290872230006,185.33534421600004,244.68969688399937,72.4355,8.518879720166652,78.2364,60.3907,78.6794,2090.0211588541665,6.437295772600934,2086.849609375,2084.216796875,2098.9970703125,2089.0784505208335,6.184455936247736,2085.212890625,2084.216796875,2097.8056640625,2087.8841145833335,6.43130369436877,2084.07421875,2082.63671875,2096.94140625,2086.98828125,6.245410912878602,2082.63671875,2082.5078125,2095.8203125,3979;3979;3979,1;1;1,3979;3979;3979,3977;3977;3977,VALID_3_REPS
NTU,eee_02,N-LIO,1,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,76e7349c106135cd6afbc042251d9d81688d5aac5b6fd3976c429616ab764263,0f4881acffd3a6958b1bf67ae07363a84b563d1a,P15-eee_02-N-LIO-r1;P15-eee_02-N-LIO-r2;P15-eee_02-N-LIO-r3,3,0.021901091769,0.0,0.021901091769,0.021901091769,0.021901091769,32.70746114533337,3.6073897559609356,34.84012812400008,27.627564408000012,35.654690904000006,128.98496188133342,14.368266481934802,137.11316347600027,108.79262879799982,141.04909337000015,35.735533333333336,3.9889773002891626,38.0734,30.1204,39.0128,1695.7952473958333,1.6297386394672453,1696.568359375,1693.5283203125,1697.2890625,1695.2197265625,1.5584005875107887,1694.841796875,1693.5283203125,1697.2890625,1693.1901041666667,1.861819813985302,1693.57421875,1690.7421875,1695.25390625,1692.6380208333333,1.9109784181251055,1691.91796875,1690.7421875,1695.25390625,3208;3208;3208,0;0;0,0;0;0,0;0;0,VALID_3_REPS
NTU,eee_02,P-LIO,1,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,76e7349c106135cd6afbc042251d9d81688d5aac5b6fd3976c429616ab764263,00f12463d520d5ac7297f62385f56757d56a029c,P15-eee_02-P-LIO-r1;P15-eee_02-P-LIO-r2;P15-eee_02-P-LIO-r3,3,0.017281438879,0.0,0.017281438879,0.017281438879,0.017281438879,27.38717890166671,4.348109599622402,28.597296576,21.560932743000063,32.00330738600007,102.88445873466635,16.173225713647472,107.7911698089994,81.08419169199992,119.77801470299974,30.94,4.722001254411805,32.2467,24.6152,35.9581,274.4137369791667,2.239608125771203,275.2626953125,271.3466796875,276.6318359375,273.5100911458333,1.5297681077849414,274.5869140625,271.3466796875,274.5966796875,272.30078125,2.7438025722231805,273.1484375,268.59765625,275.15625,271.4440104166667,2.030010973603687,272.54296875,268.59765625,273.19140625,3204;3204;3204,0;0;0,0;0;0,0;0;0,VALID_3_REPS
NTU,eee_02,N-LIVO-STRIDE,1,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,a02de9fde32902582637605791cdf050028efa3b54171d07a92b216f289b5d90,0f4881acffd3a6958b1bf67ae07363a84b563d1a,P15-eee_02-N-LIVO-r1;P15-eee_02-N-LIVO-r2;P15-eee_02-N-LIVO-r3,3,0.035967195907666664,8.486894024790642e-05,0.035962174634,0.035865854748,0.036073558341,62.09557478966673,7.502474217884639,66.62061142700007,51.52199687200013,68.14411606999998,218.1983155473325,29.154277707386065,236.6463366109998,177.04139484299895,240.90721518799876,67.4931,9.060809103312282,71.176,55.0227,76.2806,3091.41796875,1.7084245734932022,3090.5498046875,3089.8994140625,3093.8046875,3091.41796875,1.7084245734932022,3090.5498046875,3089.8994140625,3093.8046875,3088.8177083333335,1.4441941525352517,3087.91796875,3087.6796875,3090.85546875,3088.8177083333335,1.4441941525352517,3087.91796875,3087.6796875,3090.85546875,3206;3206;3206,0;0;0,3207;3207;3207,3205;3205;3205,VALID_3_REPS
NTU,eee_02,P-LIVO-STRIDE,1,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,a02de9fde32902582637605791cdf050028efa3b54171d07a92b216f289b5d90,00f12463d520d5ac7297f62385f56757d56a029c,P15-eee_02-P-LIVO-r1;P15-eee_02-P-LIVO-r2;P15-eee_02-P-LIVO-r3,3,0.027540862083333333,0.0001674286999523751,0.027535443128,0.027338567828,0.027748575294,55.331914521333324,7.801907237940007,57.26968744299993,44.956200119999956,63.76985600100009,187.19634383766677,26.498673559393293,194.279858277,151.785519829,215.5236534070003,60.26303333333333,9.589977294492877,61.174,48.0888,71.5263,1677.6627604166667,22.743455809613277,1690.8408203125,1645.6640625,1696.4833984375,1677.6627604166667,22.743455809613277,1690.8408203125,1645.6640625,1696.4833984375,1675.5,22.337415103932475,1688.80078125,1644.03515625,1693.6640625,1675.5,22.337415103932475,1688.80078125,1644.03515625,1693.6640625,3202;3202;3202,0;0;0,3202;3202;3202,3200;3200;3200,VALID_3_REPS
NTU,eee_03,N-LIO,1,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,76e7349c106135cd6afbc042251d9d81688d5aac5b6fd3976c429616ab764263,0f4881acffd3a6958b1bf67ae07363a84b563d1a,P15-eee_03-N-LIO-r1;P15-eee_03-N-LIO-r2;P15-eee_03-N-LIO-r3,3,0.031571706463,0.0,0.031571706463,0.031571706463,0.031571706463,20.305917121333323,3.201250382462961,20.742827771999984,16.18504743699999,23.989876154999997,76.95419006200007,10.293039822950663,79.96732120599988,63.11430442900011,87.78094455100019,22.344666666666665,3.464977553879518,23.0042,17.8098,26.22,1311.810546875,1.450301733083171,1311.6259765625,1310.1337890625,1313.671875,1311.810546875,1.450301733083171,1311.6259765625,1310.1337890625,1313.671875,1309.234375,1.8236122184931478,1308.671875,1307.3359375,1311.6953125,1309.234375,1.8236122184931478,1308.671875,1307.3359375,1311.6953125,1812;1812;1812,0;0;0,0;0;0,0;0;0,VALID_3_REPS
NTU,eee_03,P-LIO,1,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,76e7349c106135cd6afbc042251d9d81688d5aac5b6fd3976c429616ab764263,00f12463d520d5ac7297f62385f56757d56a029c,P15-eee_03-P-LIO-r1;P15-eee_03-P-LIO-r2;P15-eee_03-P-LIO-r3,3,0.029984326739,0.0,0.029984326739,0.029984326739,0.029984326739,17.292184738333344,4.313861745331321,16.36915036600001,12.531144084000022,22.976259765,64.68930901333337,15.692880750285589,61.60771387900011,47.196515539000075,85.26369762199992,19.5259,4.741456842223355,18.5473,14.2703,25.7601,229.94791666666666,1.5889257748345218,229.4931640625,228.26953125,232.0810546875,229.6484375,1.1943198343575765,229.4931640625,228.26953125,231.1826171875,227.31770833333334,1.9034685921250702,226.52734375,225.484375,229.94140625,227.04166666666666,1.5254805122274633,226.52734375,225.484375,229.11328125,1808;1808;1808,0;0;0,0;0;0,0;0;0,VALID_3_REPS
