family,sequence,arm,stride,repetition,run_id,run_dir,status,config_authority,config_sha256,shared_semantic_sha256,source_head,ate_rmse_m,matched_count,trajectory_rows,backend_attempted,backend_success,backend_rejected,visual_calls,visual_commits,estimator_wall_s,estimator_cpu_s,estimator_count,offline_wall_s,offline_process_cpu_s,bag_duration_s,rtf,peak_raw_cpu_pct,peak_rss_mib,final_rss_mib,peak_pss_mib,final_pss_mib,peak_uss_mib,final_uss_mib,config_identity,stride_identity
NTU,eee_01,N-LIO,1,1,P15-eee_01-N-LIO-r1,results/prob_livo/prompt15/formal/P15-eee_01-N-LIO-r1,VALID,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,76e7349c106135cd6afbc042251d9d81688d5aac5b6fd3976c429616ab764263,0f4881acffd3a6958b1bf67ae07363a84b563d1a,0.030760061559,0,3985.0,3985.0,3985.0,0.0,0.0,0.0,37.623593749999955,146.70098693200023,3987.0,41.3081,158.498,0.0,nan,392.674,2588.734375,2588.6015625,2568.36328125,2568.20703125,2566.24609375,2566.16015625,PASS,PASS
NTU,eee_01,N-LIO,1,2,P15-eee_01-N-LIO-r2,results/prob_livo/prompt15/formal/P15-eee_01-N-LIO-r2,VALID,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,76e7349c106135cd6afbc042251d9d81688d5aac5b6fd3976c429616ab764263,0f4881acffd3a6958b1bf67ae07363a84b563d1a,0.030760061559,0,3985.0,3985.0,3985.0,0.0,0.0,0.0,47.42344839800002,184.88273482399964,3987.0,51.5331,198.646,0.0,nan,395.27,2585.16015625,2584.859375,2565.119140625,2564.853515625,2562.2265625,2562.03125,PASS,PASS
NTU,eee_01,N-LIO,1,3,P15-eee_01-N-LIO-r3,results/prob_livo/prompt15/formal/P15-eee_01-N-LIO-r3,VALID,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,76e7349c106135cd6afbc042251d9d81688d5aac5b6fd3976c429616ab764263,0f4881acffd3a6958b1bf67ae07363a84b563d1a,0.030760061559,0,3985.0,3985.0,3985.0,0.0,0.0,0.0,48.35853695699988,188.64532328099972,3987.0,52.6045,203.292,0.0,nan,394.855,2587.05078125,2585.453125,2566.5810546875,2564.9794921875,2563.7734375,2562.2421875,PASS,PASS
NTU,eee_01,P-LIO,1,1,P15-eee_01-P-LIO-r1,results/prob_livo/prompt15/formal/P15-eee_01-P-LIO-r1,VALID,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,76e7349c106135cd6afbc042251d9d81688d5aac5b6fd3976c429616ab764263,00f12463d520d5ac7297f62385f56757d56a029c,0.049511281713,0,3981.0,3987.0,3987.0,0.0,0.0,0.0,28.38303146200004,106.89266481100007,3987.0,31.9595,110.926,0.0,nan,352.015,340.7109375,340.7109375,319.962890625,319.962890625,317.90625,317.90625,PASS,PASS
NTU,eee_01,P-LIO,1,2,P15-eee_01-P-LIO-r2,results/prob_livo/prompt15/formal/P15-eee_01-P-LIO-r2,VALID,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,76e7349c106135cd6afbc042251d9d81688d5aac5b6fd3976c429616ab764263,00f12463d520d5ac7297f62385f56757d56a029c,0.049511281713,0,3981.0,3987.0,3987.0,0.0,0.0,0.0,46.86586237100006,174.9560481369999,3987.0,52.7379,181.282,0.0,nan,351.485,339.7734375,337.3828125,319.6103515625,317.2626953125,316.703125,314.42578125,PASS,PASS
NTU,eee_01,P-LIO,1,3,P15-eee_01-P-LIO-r3,results/prob_livo/prompt15/formal/P15-eee_01-P-LIO-r3,VALID,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,76e7349c106135cd6afbc042251d9d81688d5aac5b6fd3976c429616ab764263,00f12463d520d5ac7297f62385f56757d56a029c,0.049511281713,0,3981.0,3987.0,3987.0,0.0,0.0,0.0,37.123917463999895,139.79110215200012,3987.0,41.4658,144.753,0.0,nan,354.608,337.5859375,337.5859375,316.9296875,316.9296875,314.21875,314.21875,PASS,PASS
NTU,eee_01,N-LIVO-STRIDE,1,1,P15-eee_01-N-LIVO-r1,results/prob_livo/prompt15/formal/P15-eee_01-N-LIVO-r1,VALID,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,a02de9fde32902582637605791cdf050028efa3b54171d07a92b216f289b5d90,0f4881acffd3a6958b1bf67ae07363a84b563d1a,0.028777823814,0,3983.0,3983.0,3983.0,0.0,3983.0,3982.0,65.7883657170002,221.86116895300123,7967.0,70.0486,249.941,0.0,nan,396.44,4427.02734375,4427.02734375,4406.7587890625,4406.7587890625,4404.77734375,4404.77734375,PASS,PASS
NTU,eee_01,N-LIVO-STRIDE,1,2,P15-eee_01-N-LIVO-r2,results/prob_livo/prompt15/formal/P15-eee_01-N-LIVO-r2,VALID,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,a02de9fde32902582637605791cdf050028efa3b54171d07a92b216f289b5d90,0f4881acffd3a6958b1bf67ae07363a84b563d1a,0.032427050397,0,3983.0,3983.0,3983.0,0.0,3983.0,3982.0,81.30477892599993,283.51500914199795,7967.0,86.995,315.248,0.0,nan,397.445,4458.828125,4458.828125,4438.640625,4438.640625,4435.7734375,4435.7734375,PASS,PASS
NTU,eee_01,N-LIVO-STRIDE,1,3,P15-eee_01-N-LIVO-r3,results/prob_livo/prompt15/formal/P15-eee_01-N-LIVO-r3,VALID,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,a02de9fde32902582637605791cdf050028efa3b54171d07a92b216f289b5d90,0f4881acffd3a6958b1bf67ae07363a84b563d1a,0.028794415818,0,3983.0,3983.0,3983.0,0.0,3983.0,3982.0,85.06162299199987,298.44237143099843,7967.0,91.0096,330.833,0.0,nan,396.753,4422.94921875,4422.94921875,4402.65625,4402.65625,4399.91796875,4399.91796875,PASS,PASS
NTU,eee_01,P-LIVO-STRIDE,1,1,P15-eee_01-P-LIVO-r1,results/prob_livo/prompt15/formal/P15-eee_01-P-LIVO-r1,VALID,hku-mars/FAST-LIVO2@0d2c0346107b75b59934975adec9a6eeeb913c64:config/NTU_VIRAL.yaml,c8f94f130e599b928c3f02c3f3d3b2009ae01df76aec32f6ac96b6a987311ef3,a02de9fde32902582637605791cdf050028efa3b54171d07a92b216f289b5d90,00f12463d520d5ac7297f62385f56757d56a029c,0.052242534634,0,3979.0,3984.0,3983.0,1.0,3979.0,3977.0,56.58046111699977,185.33534421600004,7967.0,60.3907,193.761,0.0,nan,368.397,2119.171875,2118.0390625,2098.9970703125,2097.8056640625,2096.94140625,2095.8203125,PASS,PASS
