order,dataset,sequence,arm,repetition,phase,workers,cpuset,status
1,OXFORD,Church_05,P-LIO,1,formal,4,0+2+4+6,PREDECLARED_SERIAL
2,OXFORD,Church_05,N-LIO,1,formal,4,0+2+4+6,PREDECLARED_SERIAL
3,OXFORD,Church_05,P-LIVO-STRIDE,1,formal,4,0+2+4+6,PREDECLARED_SERIAL
4,OXFORD,Church_05,N-LIVO-STRIDE,1,formal,4,0+2+4+6,PREDECLARED_SERIAL
5,OXFORD,Palace_01,P-LIO,1,formal,4,0+2+4+6,PREDECLARED_SERIAL
6,OXFORD,Palace_01,N-LIO,1,formal,4,0+2+4+6,PREDECLARED_SERIAL
7,OXFORD,Palace_01,P-LIVO-STRIDE,1,formal,4,0+2+4+6,PREDECLARED_SERIAL
8,OXFORD,Palace_01,N-LIVO-STRIDE,1,formal,4,0+2+4+6,PREDECLARED_SERIAL
9,OXFORD,College_03,P-LIO,1,formal,4,0+2+4+6,PREDECLARED_SERIAL
10,OXFORD,College_03,N-LIO,1,formal,4,0+2+4+6,PREDECLARED_SERIAL
11,OXFORD,College_03,P-LIVO-STRIDE,1,formal,4,0+2+4+6,PREDECLARED_SERIAL
12,OXFORD,College_03,N-LIVO-STRIDE,1,formal,4,0+2+4+6,PREDECLARED_SERIAL
13,OXFORD,Quarter_01,P-LIO,1,formal,4,0+2+4+6,PREDECLARED_SERIAL
14,OXFORD,Quarter_01,N-LIO,1,formal,4,0+2+4+6,PREDECLARED_SERIAL
15,OXFORD,Quarter_01,P-LIVO-STRIDE,1,formal,4,0+2+4+6,PREDECLARED_SERIAL
16,OXFORD,Quarter_01,N-LIVO-STRIDE,1,formal,4,0+2+4+6,PREDECLARED_SERIAL
17,OXFORD,Church_05,P-LIO,2,formal,4,0+2+4+6,PREDECLARED_SERIAL
18,OXFORD,Church_05,N-LIO,2,formal,4,0+2+4+6,PREDECLARED_SERIAL
19,OXFORD,Church_05,P-LIVO-STRIDE,2,formal,4,0+2+4+6,PREDECLARED_SERIAL
20,OXFORD,Church_05,N-LIVO-STRIDE,2,formal,4,0+2+4+6,PREDECLARED_SERIAL
21,OXFORD,Palace_01,P-LIO,2,formal,4,0+2+4+6,PREDECLARED_SERIAL
22,OXFORD,Palace_01,N-LIO,2,formal,4,0+2+4+6,PREDECLARED_SERIAL
23,OXFORD,Palace_01,P-LIVO-STRIDE,2,formal,4,0+2+4+6,PREDECLARED_SERIAL
24,OXFORD,Palace_01,N-LIVO-STRIDE,2,formal,4,0+2+4+6,PREDECLARED_SERIAL
25,OXFORD,College_03,P-LIO,2,formal,4,0+2+4+6,PREDECLARED_SERIAL
26,OXFORD,College_03,N-LIO,2,formal,4,0+2+4+6,PREDECLARED_SERIAL
27,OXFORD,College_03,P-LIVO-STRIDE,2,formal,4,0+2+4+6,PREDECLARED_SERIAL
28,OXFORD,College_03,N-LIVO-STRIDE,2,formal,4,0+2+4+6,PREDECLARED_SERIAL
29,OXFORD,Quarter_01,P-LIO,2,formal,4,0+2+4+6,PREDECLARED_SERIAL
30,OXFORD,Quarter_01,N-LIO,2,formal,4,0+2+4+6,PREDECLARED_SERIAL
31,OXFORD,Quarter_01,P-LIVO-STRIDE,2,formal,4,0+2+4+6,PREDECLARED_SERIAL
32,OXFORD,Quarter_01,N-LIVO-STRIDE,2,formal,4,0+2+4+6,PREDECLARED_SERIAL
33,OXFORD,Church_05,P-LIO,3,formal,4,0+2+4+6,PREDECLARED_SERIAL
34,OXFORD,Church_05,N-LIO,3,formal,4,0+2+4+6,PREDECLARED_SERIAL
35,OXFORD,Church_05,P-LIVO-STRIDE,3,formal,4,0+2+4+6,PREDECLARED_SERIAL
36,OXFORD,Church_05,N-LIVO-STRIDE,3,formal,4,0+2+4+6,PREDECLARED_SERIAL
37,OXFORD,Palace_01,P-LIO,3,formal,4,0+2+4+6,PREDECLARED_SERIAL
38,OXFORD,Palace_01,N-LIO,3,formal,4,0+2+4+6,PREDECLARED_SERIAL
39,OXFORD,Palace_01,P-LIVO-STRIDE,3,formal,4,0+2+4+6,PREDECLARED_SERIAL
40,OXFORD,Palace_01,N-LIVO-STRIDE,3,formal,4,0+2+4+6,PREDECLARED_SERIAL
41,OXFORD,College_03,P-LIO,3,formal,4,0+2+4+6,PREDECLARED_SERIAL
42,OXFORD,College_03,N-LIO,3,formal,4,0+2+4+6,PREDECLARED_SERIAL
43,OXFORD,College_03,P-LIVO-STRIDE,3,formal,4,0+2+4+6,PREDECLARED_SERIAL
44,OXFORD,College_03,N-LIVO-STRIDE,3,formal,4,0+2+4+6,PREDECLARED_SERIAL
45,OXFORD,Quarter_01,P-LIO,3,formal,4,0+2+4+6,PREDECLARED_SERIAL
46,OXFORD,Quarter_01,N-LIO,3,formal,4,0+2+4+6,PREDECLARED_SERIAL
47,OXFORD,Quarter_01,P-LIVO-STRIDE,3,formal,4,0+2+4+6,PREDECLARED_SERIAL
48,OXFORD,Quarter_01,N-LIVO-STRIDE,3,formal,4,0+2+4+6,PREDECLARED_SERIAL
