semantic_key,classification,ntu_final,oxford_final,native_source,prob_source,authority_or_default,rationale
common/lid_topic,SHARED_EXACT,/os1_cloud_node1/points,/hesai/pandar,LIVMapper::readParameters common/lid_topic,LIVMapper::readParameters common/lid_topic,NTU official 0d2c034; Oxford OSD f2c9abb,Same sensor topic in both backends
common/imu_topic,SHARED_EXACT,/imu/imu,/alphasense_driver_ros/imu,LIVMapper::readParameters common/imu_topic,LIVMapper::readParameters common/imu_topic,Dataset authority,Same sensor topic in both backends
common/img_topic,SHARED_EXACT,/left/image_raw,/alphasense_driver_ros/cam0/debayered/image/compressed,LIVMapper::readParameters common/img_topic,LIVMapper::readParameters common/img_topic,Local bag transport adaptation for Oxford,Same decoded image stream in both backends
common/img_en,SHARED_EXACT,1,1,LIVMapper::readParameters common/img_en,LIVMapper::readParameters common/img_en,Source OSD image_en normalized to current code img_en,Same enable semantics
common/lidar_en,SHARED_EXACT,1,1,LIVMapper::readParameters common/lidar_en,LIVMapper::readParameters common/lidar_en,Dataset profile,Same enable semantics
common/ros_driver_bug_fix,SHARED_EXACT,false,false,LIVMapper::readParameters common/ros_driver_bug_fix,LIVMapper::readParameters common/ros_driver_bug_fix,Dataset profile,Same driver behavior
extrin_calib/extrinsic_T,SHARED_EXACT,"[-0.05,0.0,0.055]","[-0.00298737408,-0.0162174455,0.0837937008]",LIVMapper extrinsic params,LIVMapper extrinsic params,Dataset authority,Same LiDAR-IMU extrinsic semantics
extrin_calib/extrinsic_R,SHARED_EXACT,"[1,0,0,0,1,0,0,0,1]","[-0.0179010935,-0.9998395,0.000724771588,0.999839311,-0.0179003915,0.000963774848,-0.000950646466,0.000741907749,0.999999273]",LIVMapper extrinsic params,LIVMapper extrinsic params,Dataset authority,Same LiDAR-IMU extrinsic semantics
extrin_calib/Rcl,SHARED_EXACT,"[0.0218308,0.99976,-0.00201407,-0.0131205,0.00230088,0.999911,0.999676,-0.0218025,0.0131676]","[0.009769443369467168,0.9999460020163569,0.0035427429705001123,0.007671197638838445,0.003467861351881818,-0.9999645627043141,-0.9999228523756403,0.009796274248324188,-0.007636904334543504]",LIVMapper camera extrinsic params,LIVMapper camera extrinsic params,Dataset authority,Same camera extrinsic semantics
extrin_calib/Pcl,SHARED_EXACT,"[0.122993,0.0398643,-0.0577101]","[0.00035060884033447846,-0.079574053851818,-0.053826061545697405]",LIVMapper camera extrinsic params,LIVMapper camera extrinsic params,Dataset authority,Same camera extrinsic semantics
