family,sequence,arm,repetition,run_id,run_dir,source,status,config_profile_sha256,raw_config_sha256,shared_semantic_sha256,source_head,stride,camera_timestamp_count,camera_timestamp_sha256,ate_rmse_m,matched_count,trajectory_rows,backend_rejected,visual_calls,visual_commits,estimator_wall_s,estimator_cpu_s,offline_wall_s,peak_pss_mib,final_pss_mib,peak_uss_mib,final_uss_mib,config_identity,camera_identity
OXFORD,Church_05,N-NTU,1,P18-Church_05-N-LIVO-STRIDE-r1,results/prob_livo/runs/prompt18_n1_native_Church_05_r1,N-NTU,VALID,8277649c80b735a16f753a40f5ecc21f9d80d00a732a9dbedf5ab06290f0dbf5,87bd926073ed49c68ab330617e7ca52c0e0b0470ab2c63cdba89aac2312aca92,cf1a1b293bbcb9de62819e1c7dac5335cfacfe362919ad14caca902d9021df0f,84757c4bbd4c74ef2791395a94f3df07cb9a5c1a,1,3961,ada0f71ab84fe97d78a9d7ae4c17418f08876e98599731687d32f5778ef30336,0.2094,3959,3959.0,0.0,3960.0,3959.0,388.43919063700037,1031.408698837996,443.064,8351.8759765625,8351.8759765625,8349.19921875,8349.19921875,PASS,PASS
OXFORD,Church_05,P-NTU,1,P23-Church_05-P-LIVO-STRIDE-r1,results/prob_livo/prompt23/formal/P23-Church_05-P-LIVO-STRIDE-r1,P-NTU,VALID,8277649c80b735a16f753a40f5ecc21f9d80d00a732a9dbedf5ab06290f0dbf5,8277649c80b735a16f753a40f5ecc21f9d80d00a732a9dbedf5ab06290f0dbf5,cf1a1b293bbcb9de62819e1c7dac5335cfacfe362919ad14caca902d9021df0f,ac7fa339990182c0a688ed82b5ff179416271dad,1,3961,ada0f71ab84fe97d78a9d7ae4c17418f08876e98599731687d32f5778ef30336,0.2282,3956,3956.0,0.0,3956.0,3954.0,237.1356208540001,517.5390117660012,295.628,8053.6708984375,8053.6708984375,8051.15625,8051.15625,PASS,PASS
OXFORD,Church_05,N-NTU,2,P18-Church_05-N-LIVO-STRIDE-r2,results/prob_livo/runs/prompt18_n1_native_Church_05_r2,N-NTU,VALID,8277649c80b735a16f753a40f5ecc21f9d80d00a732a9dbedf5ab06290f0dbf5,87bd926073ed49c68ab330617e7ca52c0e0b0470ab2c63cdba89aac2312aca92,cf1a1b293bbcb9de62819e1c7dac5335cfacfe362919ad14caca902d9021df0f,84757c4bbd4c74ef2791395a94f3df07cb9a5c1a,1,3961,ada0f71ab84fe97d78a9d7ae4c17418f08876e98599731687d32f5778ef30336,0.2084,3959,3959.0,0.0,3960.0,3959.0,400.8334067200002,1066.5155386750087,455.569,8371.2724609375,8371.2724609375,8368.36328125,8368.36328125,PASS,PASS
OXFORD,Church_05,P-NTU,2,P23-Church_05-P-LIVO-STRIDE-r2,results/prob_livo/prompt23/formal/P23-Church_05-P-LIVO-STRIDE-r2,P-NTU,VALID,8277649c80b735a16f753a40f5ecc21f9d80d00a732a9dbedf5ab06290f0dbf5,8277649c80b735a16f753a40f5ecc21f9d80d00a732a9dbedf5ab06290f0dbf5,cf1a1b293bbcb9de62819e1c7dac5335cfacfe362919ad14caca902d9021df0f,ac7fa339990182c0a688ed82b5ff179416271dad,1,3961,ada0f71ab84fe97d78a9d7ae4c17418f08876e98599731687d32f5778ef30336,0.2303,3956,3956.0,0.0,3956.0,3953.0,237.73386612899998,518.6408259880001,296.993,8104.0791015625,8100.2197265625,8100.83984375,8097.05078125,PASS,PASS
OXFORD,Church_05,N-NTU,3,P18-Church_05-N-LIVO-STRIDE-r3,results/prob_livo/runs/prompt18_n1_native_Church_05_r3,N-NTU,VALID,8277649c80b735a16f753a40f5ecc21f9d80d00a732a9dbedf5ab06290f0dbf5,87bd926073ed49c68ab330617e7ca52c0e0b0470ab2c63cdba89aac2312aca92,cf1a1b293bbcb9de62819e1c7dac5335cfacfe362919ad14caca902d9021df0f,84757c4bbd4c74ef2791395a94f3df07cb9a5c1a,1,3961,ada0f71ab84fe97d78a9d7ae4c17418f08876e98599731687d32f5778ef30336,0.2102,3959,3959.0,0.0,3960.0,3959.0,389.006724485999,1030.1567443589984,443.606,8350.6650390625,8350.6650390625,8347.80078125,8347.80078125,PASS,PASS
OXFORD,Church_05,P-NTU,3,P23-Church_05-P-LIVO-STRIDE-r3,results/prob_livo/prompt23/formal/P23-Church_05-P-LIVO-STRIDE-r3,P-NTU,VALID,8277649c80b735a16f753a40f5ecc21f9d80d00a732a9dbedf5ab06290f0dbf5,8277649c80b735a16f753a40f5ecc21f9d80d00a732a9dbedf5ab06290f0dbf5,cf1a1b293bbcb9de62819e1c7dac5335cfacfe362919ad14caca902d9021df0f,ac7fa339990182c0a688ed82b5ff179416271dad,1,3961,ada0f71ab84fe97d78a9d7ae4c17418f08876e98599731687d32f5778ef30336,0.2311,3956,3956.0,0.0,3956.0,3953.0,237.4226604279994,520.6809777349985,294.131,8068.296875,8068.296875,8066.55078125,8066.55078125,PASS,PASS
OXFORD,College_03,N-NTU,1,P18-College_03-N-LIVO-STRIDE-r1,results/prob_livo/runs/prompt18_n1_native_College_03_r1,N-NTU,VALID,8277649c80b735a16f753a40f5ecc21f9d80d00a732a9dbedf5ab06290f0dbf5,87bd926073ed49c68ab330617e7ca52c0e0b0470ab2c63cdba89aac2312aca92,cf1a1b293bbcb9de62819e1c7dac5335cfacfe362919ad14caca902d9021df0f,84757c4bbd4c74ef2791395a94f3df07cb9a5c1a,2,2841,30df87679ddd892df4026617ebf7c051e788d4e65905bcbffd6191be7598b089,0.0514,2838,2838.0,0.0,2839.0,2837.0,184.92476233300084,502.75934844499795,223.087,6019.34375,6019.34375,6016.5625,6016.5625,PASS,PASS
OXFORD,College_03,P-NTU,1,P23-College_03-P-LIVO-STRIDE-r1,results/prob_livo/prompt23/formal/P23-College_03-P-LIVO-STRIDE-r1,P-NTU,VALID,8277649c80b735a16f753a40f5ecc21f9d80d00a732a9dbedf5ab06290f0dbf5,8277649c80b735a16f753a40f5ecc21f9d80d00a732a9dbedf5ab06290f0dbf5,cf1a1b293bbcb9de62819e1c7dac5335cfacfe362919ad14caca902d9021df0f,ac7fa339990182c0a688ed82b5ff179416271dad,2,2841,30df87679ddd892df4026617ebf7c051e788d4e65905bcbffd6191be7598b089,0.0914,2834,2834.0,0.0,2834.0,2832.0,126.21986348300018,319.8304996109993,168.68,5900.4775390625,5900.4775390625,5897.44140625,5897.44140625,PASS,PASS
OXFORD,College_03,N-NTU,2,P18-College_03-N-LIVO-STRIDE-r2,results/prob_livo/runs/prompt18_n1_native_College_03_r2,N-NTU,VALID,8277649c80b735a16f753a40f5ecc21f9d80d00a732a9dbedf5ab06290f0dbf5,87bd926073ed49c68ab330617e7ca52c0e0b0470ab2c63cdba89aac2312aca92,cf1a1b293bbcb9de62819e1c7dac5335cfacfe362919ad14caca902d9021df0f,84757c4bbd4c74ef2791395a94f3df07cb9a5c1a,2,2841,30df87679ddd892df4026617ebf7c051e788d4e65905bcbffd6191be7598b089,0.0513,2838,2838.0,0.0,2839.0,2837.0,186.72568635300024,507.9077586120002,225.078,6020.625,6020.625,6017.75390625,6017.75390625,PASS,PASS
OXFORD,College_03,P-NTU,2,P23-College_03-P-LIVO-STRIDE-r2,results/prob_livo/prompt23/formal/P23-College_03-P-LIVO-STRIDE-r2,P-NTU,VALID,8277649c80b735a16f753a40f5ecc21f9d80d00a732a9dbedf5ab06290f0dbf5,8277649c80b735a16f753a40f5ecc21f9d80d00a732a9dbedf5ab06290f0dbf5,cf1a1b293bbcb9de62819e1c7dac5335cfacfe362919ad14caca902d9021df0f,ac7fa339990182c0a688ed82b5ff179416271dad,2,2841,30df87679ddd892df4026617ebf7c051e788d4e65905bcbffd6191be7598b089,0.0914,2834,2834.0,0.0,2834.0,2831.0,128.48367596700004,324.3786011249996,172.588,5915.521484375,5915.521484375,5912.4453125,5912.4453125,PASS,PASS
